,batsman,batsman_runs,ball,boundaries,dismissed,dot_balls,man_of_match,match_30+,total_matches,strike_rate,%age_not_out,%age_dot_balls,%age_boundaries,%30+runs,average_suns_per_match,Strike_rate_in_powerplay,Strike_rate_in_death_overs,Player,batsman_rank,bowling_rank,allrounder_rank
0,V Kohli,5878,4609,706.0,163.0,1625.0,13.0,84.0,184,127.53,11.41,35.26,15.32,45.65,31.95,111.80285343709468,197.14867617107942,V Kohli,5.0,247.0,53.0
1,SK Raina,5368,4041,687.0,160.0,1412.0,14.0,76.0,189,132.84,15.34,34.94,17.0,40.21,28.4,129.12457912457913,164.84375,SK Raina,4.0,116.0,6.0
2,DA Warner,5254,3819,705.0,126.0,1429.0,17.0,76.0,142,137.58,11.27,37.42,18.46,53.52,37.0,132.44078269824925,190.7216494845361,DA Warner,1.0,-,-
3,RG Sharma,5230,4088,672.0,177.0,1532.0,18.0,73.0,194,127.94,8.76,37.48,16.44,37.63,26.96,111.31707317073172,190.34941763727122,RG Sharma,11.0,140.0,15.0
4,S Dhawan,5197,4208,700.0,152.0,1613.0,8.0,72.0,175,123.5,13.14,38.33,16.63,41.14,29.7,119.73684210526316,158.53658536585365,S Dhawan,13.0,-,-
5,AB de Villiers,4849,3264,625.0,114.0,1041.0,23.0,63.0,156,148.56,26.92,31.89,19.15,40.38,31.08,117.56978653530376,224.7311827956989,AB de Villiers,3.0,-,-
6,CH Gayle,4772,3342,733.0,116.0,1560.0,22.0,58.0,131,142.79,11.45,46.68,21.93,44.27,36.43,129.4943820224719,192.5,CH Gayle,2.0,147.0,13.0
7,MS Dhoni,4632,3493,529.0,126.0,1225.0,17.0,62.0,182,132.61,30.77,35.07,15.14,34.07,25.45,75.75757575757575,180.62745098039215,MS Dhoni,10.0,-,-
8,RV Uthappa,4607,3658,617.0,169.0,1480.0,7.0,67.0,182,125.94,7.14,40.46,16.87,36.81,25.31,120.07797270955164,166.10169491525423,RV Uthappa,20.0,-,-
9,G Gambhir,4217,3524,551.0,135.0,1357.0,13.0,58.0,151,119.67,10.6,38.51,15.64,38.41,27.93,117.06940874035989,135.43307086614175,G Gambhir,27.0,-,-
10,AM Rahane,3933,3325,492.0,125.0,1271.0,12.0,56.0,140,118.29,10.71,38.23,14.8,40.0,28.09,112.65895953757226,153.47826086956522,AM Rahane,29.0,-,-
11,SR Watson,3874,2888,566.0,125.0,1247.0,16.0,52.0,141,134.14,11.35,43.18,19.6,36.88,27.48,109.86024844720497,180.98159509202455,SR Watson,6.0,52.0,1.0
12,KD Karthik,3823,3023,482.0,152.0,1097.0,5.0,53.0,176,126.46,13.64,36.29,15.94,30.11,21.72,96.35036496350365,176.09942638623326,KD Karthik,32.0,-,-
